,parcelid,logerror,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,month_buyed,day_buyed,builded_buyed,county
10613,17188948,-0.0212,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34206502.0,-119022130.0,9004.0,,,,,,1111,261.0,,61110056.00305,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1551.54,,,,2,19,,0
10796,17188960,-0.0429,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34206061.0,-119021876.0,6900.0,,,,,,1111,261.0,,61110056.00305,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,2,22,,0
11336,17112927,-0.0715,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34247880.0,-119173191.0,4689.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84745.0,2015.0,84745.0,2463.58,,,,2,24,,0
11514,17188949,-0.079,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34206510.0,-119022380.0,6825.0,,,,,,1111,261.0,,61110056.00305,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,2,24,,0
11573,17188950,0.0497,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34206511.0,-119022595.0,6825.0,,,,,,1111,261.0,,61110056.00305,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,2,24,,0
11901,17112291,0.004,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34248956.0,-119170225.0,3643.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2090.84,,,,2,25,,0
12023,17112931,-0.0356,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34247880.0,-119173191.0,4858.0,,,,,,1014,269.0,,61110050.041,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84787.0,2015.0,84787.0,2464.06,,,,2,26,,0
12162,17112290,-0.0534,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249042.0,-119170288.0,3643.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2090.84,,,,2,26,,0
12277,17205203,-0.0284,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34298221.0,-118884735.0,11925.0,,,,,,1014,269.0,,61110076.061008,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,279470.0,2015.0,279470.0,3092.26,,,,2,26,,0
12295,17205207,-0.1744,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34297974.0,-118884142.0,9724.0,,,,,,1014,269.0,,61110076.061008,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,279470.0,2015.0,279470.0,3092.08,,,,2,26,,0
13010,17112288,0.0459,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249206.0,-119170426.0,3643.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,762928.0,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2090.84,,,,3,1,,0
13279,17200205,-0.0243,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34278315.0,-118875881.0,,,,,,,1129,266.0,,61110076.121002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,3,1,,0
13396,17113044,-0.0619,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34252410.0,-119172235.0,3420.0,,,,,,1014,269.0,,61110050.041009,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,81490.0,2015.0,81490.0,1994.92,,,,3,2,,0
13527,17113040,-0.0398,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34252142.0,-119172621.0,3461.0,,,,,,1014,269.0,,61110050.041009,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,81490.0,2015.0,81490.0,2007.96,,,,3,2,,0
13593,17113039,-0.0182,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34252054.0,-119172798.0,7074.0,,,,,,1014,269.0,,61110050.041009,13150.0,2061.0,,97107.0,0.0,,,,,,,,,,81490.0,2015.0,81490.0,3089.58,,,,3,2,,0
13810,17266086,-0.1696,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34178794.0,-118908369.0,,,,,,,1129,266.0,,61110059.091,34278.0,2061.0,46736.0,96351.0,0.0,,,,,,,,,,304880.0,2015.0,304880.0,3311.92,,,,3,3,,0
14185,17200198,0.0459,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34278623.0,-118875620.0,,,,,,,1129,266.0,,61110076.121002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,3,4,,0
14717,17200207,-0.005,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34294798.0,-118846371.0,,,,,,,1129,266.0,,61110076.144,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,3,8,,0
15169,17200199,-0.0429,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34278622.0,-118875750.0,,,,,,,1129,266.0,,61110076.121002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,3,9,,0
15955,17200206,-0.0377,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34278315.0,-118875751.0,,,,,,,1129,266.0,,61110076.121002,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,3,11,,0
17370,17200260,-0.129,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34294798.0,-118846371.0,,,,,,,1129,266.0,,61110076.144,25974.0,2061.0,,97097.0,0.0,,,,,,,,,4643.0,63135.0,2015.0,58492.0,902.98,,,,3,18,,0
18305,17266084,-0.2107,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34178794.0,-118908369.0,,,,,,,1129,266.0,,61110059.091,34278.0,2061.0,46736.0,96351.0,0.0,,,,,,,,,,304881.0,2015.0,304881.0,3311.94,,,,3,22,,0
18488,17266085,-0.1485,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34178794.0,-118908369.0,,,,,,,1129,266.0,,61110059.091,34278.0,2061.0,46736.0,96351.0,0.0,,,,,,,,,,304880.0,2015.0,304880.0,3311.92,,,,3,23,,0
18666,17188959,0.0944,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,23,,0
19098,17188965,-0.1912,,,,3.5,4.0,,,3.5,,2586.0,3098.0,3098.0,,,2586.0,,6111.0,1.0,3.0,2.0,463.0,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,8.0,,1.0,,,,,2.0,,404000.0,542876.0,2015.0,138876.0,5881.7,,,,3,24,,0
19298,17188964,-0.0965,,,,4.0,5.0,,,4.0,,1822.0,3529.0,3529.0,,,1822.0,,6111.0,1.0,4.0,2.0,521.0,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,9.0,,,,,,,2.0,,455000.0,593876.0,2015.0,138876.0,6426.18,,,,3,25,,0
19978,17188932,0.0421,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34207894.0,-119020965.0,7150.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,29,,0
20687,17188963,0.003,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,30,,0
20757,17188975,-0.009,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34207894.0,-119020965.0,6807.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,30,,0
21276,17188962,-0.0429,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,31,,0
21291,17188933,0.0507,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34207894.0,-119020965.0,6957.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,31,,0
21321,17188958,0.088,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,31,,0
21350,17188961,0.003,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6900.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1544.26,,,,3,31,,0
21370,17188974,0.1026,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34207894.0,-119020965.0,6500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,,138876.0,2015.0,138876.0,1542.44,,,,3,31,,0
23317,17200204,0.006,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34294798.0,-118846371.0,,,,,,,1129,266.0,,61110076.144,25974.0,2061.0,,97097.0,0.0,,,,,,,,,,64123.0,2015.0,64123.0,913.72,,,,4,7,,0
23925,17188853,0.005,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5595.0,,,,,,1111,261.0,,61110056.003,51239.0,2061.0,,97091.0,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,4,8,,0
26492,17266087,-0.0325,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34178794.0,-118908369.0,,,,,,,1129,266.0,,61110059.091,,2061.0,,96351.0,0.0,,,,,,,,,,304880.0,2015.0,304880.0,3311.92,,,,4,19,,0
26944,17188846,0.002,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,24000.0,214000.0,2015.0,190000.0,2365.18,,,,4,20,,0
29274,17188855,0.0421,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5531.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,4,27,,0
31163,17188966,0.0218,,,,3.0,4.0,,,3.0,66.0,1598.0,3008.0,3008.0,,,1598.0,,6111.0,1.0,3.0,2.0,699.0,,,34211295.0,-119027964.0,6800.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,7.0,,,,,,,2.0,,402000.0,540876.0,2015.0,138876.0,5860.34,,,,5,2,,0
32423,17188857,-0.0121,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5465.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,5,5,,0
32749,17112289,-0.0523,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34249125.0,-119170355.0,3643.0,,,,,,1014,269.0,,61110050.041076,13150.0,2061.0,762928.0,97107.0,0.0,,,,,,,,,,84000.0,2015.0,84000.0,2090.84,,,,5,6,,0
35160,17112775,-0.0921,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34252495.0,-119169359.0,3507.0,,,,,,1111,261.0,,61110050.041,13150.0,2061.0,762928.0,97107.0,0.0,,,,,,,,,77000.0,163460.0,2015.0,86460.0,6754.38,,,,5,13,,0
38752,17188844,-0.5125,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,5,25,,0
39616,17188862,-0.0263,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5807.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,5,27,,0
40382,17112972,0.0266,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34250948.0,-119170415.0,3420.0,,,,,,1111,261.0,,61110050.041066,13150.0,2061.0,,97107.0,0.0,,,,,,,,,238000.0,347015.0,2015.0,109015.0,9617.58,,,,5,31,,0
40648,17188858,0.006,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,24000.0,214000.0,2015.0,190000.0,2365.18,,,,5,31,,0
47432,17188847,-0.007,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,26000.0,216000.0,2015.0,190000.0,2386.52,,,,6,20,,0
48635,17188848,0.008,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5406.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,24000.0,214000.0,2015.0,190000.0,2363.38,,,,6,23,,0
49534,17188851,0.0305,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5939.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,24000.0,214000.0,2015.0,190000.0,2367.0,,,,6,24,,0
61488,17072015,-0.2009,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34281197.0,-119228656.0,10857.0,,,,,,1110,261.0,,61110018.002,,2061.0,,,0.0,,,,,,,,,,165075.0,2015.0,165075.0,1818.18,,,,7,29,,0
66016,17188859,0.0276,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,5500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,23000.0,213000.0,2015.0,190000.0,2354.5,,,,8,12,,0
71622,17188978,0.0208,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34211295.0,-119027964.0,6500.0,,,,,,1111,261.0,,61110056.003,,2061.0,,,0.0,,,,,,,,,180000.0,318876.0,2015.0,138876.0,3488.46,,,,8,31,,0
76594,17072017,-0.2536,,,,0.0,0.0,,,,,,,,,,,,6111.0,,,,,,,34281197.0,-119228656.0,20330.0,,,,,,1110,261.0,,61110018.002,,2061.0,,97083.0,0.0,,,,,,,,,,165075.0,2015.0,165075.0,1819.18,,,,9,16,,0
1,14366692,-0.1684,,,,3.5,4.0,,,3.5,,,2263.0,2263.0,,,,,6059.0,,3.0,2.0,468.0,,,33668120.0,-117677556.0,3643.0,,,,,,1,261.0,,60590524.222024,32380.0,1286.0,,96962.0,0.0,,1.0,,,,,,,346458.0,585529.0,2015.0,239071.0,10153.02,,,,1,1,751.0,0
